"Source";"Target";"weight";"first_year";"last_year";"Fryslân";"Gelderland";"Limburg";"Noord-Holland";"Overijssel";"UGV";"Zuid-Holland";"Noord-Brabant";"Drenthe";"Groningen";"Zeeland";"Flevoland";"frac_Fryslân";"frac_Gelderland";"frac_Limburg";"frac_Noord-Holland";"frac_Overijssel";"frac_UGV";"frac_Zuid-Holland";"frac_Noord-Brabant";"frac_Drenthe";"frac_Groningen";"frac_Zeeland";"frac_Flevoland"
"A01B";"A01C";14;"2014";"2023";2;3;1;2;4;1;1;0;0;0;0;0;0.142857142857143;0.214285714285714;0.0714285714285714;0.142857142857143;0.285714285714286;0.0714285714285714;0.0714285714285714;0;0;0;0;0
"A01B";"A01D";49;"2013";"2024";1;0;4;2;1;5;29;7;0;0;0;0;0.0204081632653061;0;0.0816326530612245;0.0408163265306122;0.0204081632653061;0.102040816326531;0.591836734693878;0.142857142857143;0;0;0;0
"A01B";"A01F";4;"2018";"2023";0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0.25;0;0;0.5;0.25;0;0;0;0
"A01B";"A01G";8;"2015";"2024";0;2;2;2;0;0;1;0;1;0;0;0;0;0.25;0.25;0.25;0;0;0.125;0;0.125;0;0;0
"A01B";"A01K";7;"2014";"2023";0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0.571428571428571;0.428571428571429;0;0;0;0
"A01B";"A01M";13;"2013";"2023";1;4;4;1;2;0;1;0;0;0;0;0;0.0769230769230769;0.307692307692308;0.307692307692308;0.0769230769230769;0.153846153846154;0;0.0769230769230769;0;0;0;0;0
"A01B";"A23J";1;"2022";"2022";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A01B";"A23N";1;"2022";"2022";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A01B";"B01L";2;"2022";"2022";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0
"A01B";"B25F";1;"2022";"2022";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A01B";"B60D";5;"2016";"2019";0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0.2;0;0.8;0;0;0;0;0
"A01B";"B60G";1;"2020";"2020";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A01B";"B60K";2;"2020";"2023";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
